Location,Price
"$1,640","3952 Lancaster Ave , 001, Philadelphia, PA 19104"
"$1,800","852 N 41st St, 1, Philadelphia, PA 19104"
"$1,000","4208 W Thompson St, Philadelphia, PA 19104"
"$1,600","3856 Olive St, Philadelphia, PA 19104"
"$1,800","4265 Leidy Ave, 2, Philadelphia, PA 19104"
"$1,500","4226 Ogden St, 1, Philadelphia, PA 19104"
"$1,600","4327 Reno St, 2, Philadelphia, PA 19104"
"$1,600","769 N Preston St, B, Philadelphia, PA 19104"
"$1,850","612 N 39th St, 2, Philadelphia, PA 19104"
"$1,200","825 N 41st St, 5, Philadelphia, PA 19104"
"$1,200","4246 Parkside Ave, 3, Philadelphia, PA 19104"
"$1,650","4100 Ogden St, C, Philadelphia, PA 19104"
"$1,200","803 N 40th St, 3, Philadelphia, PA 19104"
"$1,450","857 N 41st St, B, Philadelphia, PA 19104"
"$1,600","4056 Ogden St, Philadelphia, PA 19104"
"$2,200","4206 Wallace St, Philadelphia, PA 19104"
"$1,540","616 N 42nd St, 1, Philadelphia, PA 19104"
"$1,830","616 N 42nd St, 4, Philadelphia, PA 19104"
"$2,200","647 N 41st St, A, Philadelphia, PA 19104"
"$1,800","881 N Brooklyn St, Philadelphia, PA 19104"
"$1,200","815 N 41st St, 2, Philadelphia, PA 19104"
"$1,540","4018 W Girard Ave, 2F, Philadelphia, PA 19104"
"$1,540","4018 W Girard Ave, 3F, Philadelphia, PA 19104"
"$1,600","4009 Aspen St, B, Philadelphia, PA 19104"
"$1,540","4018 W Girard Ave, 3R, Philadelphia, PA 19104"
"$2,100","627 N Brooklyn St, 3, Philadelphia, PA 19104"
"$1,600","761 N Preston St, A, Philadelphia, PA 19104"
"$1,600","4103 Ogden St, B, Philadelphia, PA 19104"
"$1,200","836 N Preston St, C, Philadelphia, PA 19104"
"$1,450","836 N Preston St, D, Philadelphia, PA 19104"
"$1,200","815 N 41st St, 3, Philadelphia, PA 19104"
"$1,200","4246 Parkside Ave, 2, Philadelphia, PA 19104"
