company_name,title,description,location,work_type,formatted_experience_level,job_posting_url
Law Office of Chen & Associates Inc. 恒莹律师事务所 ,Legal Assistant Paralegal,"Job Title: Bilingual Legal Assistant/Paralegal (Mandarin-English)Location: Philadelphia, PAJob Type: Full-TimeExperience Level: No Experience Required, 1-4 years We are a rising law firm located in Philadelphia, seeking a Bilingual Legal Assistant/Paralegal (Mandarin-English) to join our team. This position is ideal for someone who is looking to start a career in the legal field and has strong language skills in both Mandarin and English.
Responsibilities:Conduct legal research and analysis in both Mandarin and EnglishTranslate legal documents and communications between Mandarin and EnglishAssist with drafting legal documents, such as pleadings, motions, and discovery requestsCommunicate with clients, witnesses, and other parties in both Mandarin and EnglishManage case files and documentsAssist with trial preparationOther duties as assigned
Requirements:Strong communication skills in both Mandarin and English preferred. Bachelor's degree or paralegal certificate preferred but not requiredProficient in Microsoft Office and legal research databasesStrong attention to detail and organizational skillsAbility to multitask and work in a fast-paced environmentPositive attitude and willingness to learnWe offer competitive compensation and benefits.If you are interested in this position, please submit your resume to contact@mychenlaw.com with subject ""Paralegal/Legal Assistant Position"". We look forward to hearing from you!","Philadelphia, PA",FULL_TIME,,https://www.linkedin.com/jobs/view/3814998643/?trk=jobs_biz_prem_srch
Delaware Valley Regional Planning Commission,Financial Reporting Senior Specialist,"SALARY RANGE: High $70,000s to Mid $80,000s (position level & salary commensurate with education & experience)LOCATION: FinanceCLOSING DATE: When position is filledAREAS OF CONSIDERATION: All sources
The Delaware Valley Regional Planning Commission (DVRPC) is the Philadelphia region’s Metropolitan Planning Organization. DVRPC is a place to work, learn, and create a career in a professional and stimulating environment that values diversity, innovation, and bringing your best self to work. If your background and experience match the following vacancy, we would like to hear from you.
This is highly specialized professional work assisting the Director of Finance with financial reporting, annual audit, indirect cost allocation, budget preparation, project management, and other finance matters. This position strategically works in the areas of financial statements reporting, annual budget development and analysis, and the functional expansion of the Commission’s accounting systems and financial framework. Duties are performed within the broad framework of existing laws and policies,and the position will require independent research to ensure operations align with new regulatory requirements for federal,state, and local compliance. This position reports directly to the Director of Finance.
ResponsibilitiesManage the Annual Single Audit process for DVRPC and its nonprofits.Prepare financial statements in compliance with Generally Accepted Accounting Principles.Compile data and conduct analysis for Indirect Cost Allocation Proposal (ICAP).Prepare financial statements and schedules in the annual Work Program and Budget.Prepare necessary supplemental tables and schedules required by funding agencies for annual funding agreements.Review the monthly Project-by-Division financial report and coordinate with project managers relative to project budget versus actual expenditures.Assist Director of Finance in reviewing budget proposals during cost negotiation and reviewing contractual matters such as cost negotiation and reviewing contractual matters such as cost eligibility and timeline.Assist the Division Directors, Associate Directors, and Managers on technical accounting and grant administration procedures at the project and/or contract level.Prepare quarterly financial management reports and communicate results to management.Streamline financial analysis reports by analyzing and projecting commission-wide budgets for the purpose of controlling expenditures and cost trends.Analyze, research, and recommend process improvements to the Director of Finance regarding internal controls and policy and procedures.Review and project future expenses for healthcare premiums, pension costs, and other fringe benefits expenses.Provide guidance and support Accounting, Payroll, Account Payables, Purchasing, and related matters.Assist in the annual valuation process for Other Post Employment Benefits (OPEB) and coordinate inquiries with actuaries.Assist with special projects and process improvements initiatives.
QualificationsCPA with government audit experience for a public accounting firm preferred.Extensive knowledge of accounting and business management principles and practices.Extensive knowledge of computerized accounting and financial systems.Extensive knowledge of spreadsheet and word processing skills.Strong ability to express ideas clearly and effectively, orally and in writing.Strong ability to establish and maintain effective working relationships with other employees, vendors, and member government representatives.
Experience & TrainingA minimum of seven years of progressively responsible professional experience in Accounting and Finance; including two years in a supervisory or administrative project management capacity; and such training as may have been gained from a four-year college or university with major course work in an applicable discipline (Accounting, Finance), or an equivalent combination of experience and training. A Master’s degree in Accounting, Business Administration, or Finance is preferred,and can be substituted for one year of experience.To learn more about our work culture and benefits, visit our website: www.dvrpc.org/HumanResources/.DVRPC IS AN EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER. FULL CONSIDERATION WILL BE GIVEN TO ALL ELIGIBLE, QUALIFIED APPLICANTS WITHOUT REGARD TO AGE, ANCESTRY, COLOR, DISABILITY, DOMESTIC OR SEXUAL VIOLENCE VICTIM STATUS, ETHNICITY, FAMILIAL STATUS, GENDER IDENTITY OR EXPRESSION, GENETIC INFORMATION, MARITAL STATUS, MEDICAL CONDITION (INCLUDING PREGNANCY), NATIONAL ORIGIN, RACE, RELIGION, SEX, OR SEXUAL ORIENTATION, MINORITY, DISABLED, & VETERANS CANDIDATES ARE ENCOURAGED TO APPLY. NOTE: YOU MUST BE LEGALLY ELIGIBLE TO WORK IN THE US.TO APPLY, SEND RESUME / CV WITH COVER LETTER TO HUMAN RESOURCES VIA:EMAIL: RESUMES@DVRPC.ORG; OR MAIL: 190 N. INDEPENDENCE MALL WEST / 8TH FLOOR / PHILADELPHIA, PA 19106-1520","Philadelphia, PA",FULL_TIME,,https://www.linkedin.com/jobs/view/3830297838/?trk=jobs_biz_prem_srch
Federal Bureau of Prisons - Career Connections,Legal Assistant (Legal Access Officer),"Duties

Summary

Corrections professionals who foster a humane and secure environment and ensure public safety by preparing individuals for successful reentry into our communities. Our highly-skilled, diverse, and innovative workforce creates a strong foundation of safety and security. Through the principles of humanity and normalcy, we develop good neighbors.

Requirements

Qualifications

To be considered for the position, you must meet the following qualification requirements: Education: As a general rule, education is not creditable above GL-05 for most positions covered by this standard; however, graduate education may be credited in those few instances where the graduate education is directly related to the work of the position. OR Experience: You must have at least one year of specialized experience equivalent in difficulty and complexity to the next lower grade level in federal service. To be creditable, this experience must have equipped the applicant with the particular knowledge, skills, and abilities necessary to successfully perform the duties of the position, and must typically be in or related to the position to be filled. Some examples of this qualifying experience are: Experience with independently analyzing and interpreting information or sources relative to legal access and making appropriate recommendations to stakeholders. Experience understanding criminal trial process as it relates to legal access and distinguishing between a variety of legal instruments including court order, petitions and complaints, Habeas, Bivens, Tort, Mandamus and various injunctive relief requests. Experience serving as liaison between a facility and external stakeholders for legal access. Experience with public speaking and communication, related to navigating complex legal access situations, and identifying ways to improve processes. If applicable, credit will be given for paid and unpaid experience. To receive proper credit, you must show the actual time (such as the number of hours worked per week) spent in activities. **Your eligibility for consideration will be based on your responses to the questions in the application.**","Philadelphia, PA",FULL_TIME,Entry level,https://www.linkedin.com/jobs/view/3884429747/?trk=jobs_biz_prem_srch
Staples Stores,Retail Merchandising & Inventory Supervisor,"Job Description

As a Merchandising & Inventory Supervisor, you will be collaborative and inclusive in helping our customers while being part of a fun, team-oriented retail culture. Your passion for Sales Floor Merchandising and Signage Standards, Inventory Management, Back-Room Operations, and Customer Service will show through your leadership and throughout the store.

Get great perks.

 Full-time hours, generous paid time off, career development program, and weekly pay  Compensation based on qualifications and experience. Hiring immediately  Associate store discount and more perks (discounts on mobile plans and other retailers, etc.)  Full medical benefits package, 401(k) with company match, and many more benefits 

Schedule an interview immediately.

 Schedule an interview potentially within minutes of applying. We'll let you know if you're not eligible. In-person interviews are at the store location 

Play an active role in helping your store, your people and your customer win.

 Process accurate and efficient inventory controls: Zero Balance, Return to Vendor, Return to Warehouse, Cross Channel Returns, Reserve online pick up in store  Execute all product activities including truck unloading, sorting, stocking, and maintaining stock levels  Execute Weekly Planograms and seasonal promo merchandising changeover  Deliver exceptional customer service  Understand and utilize basic selling skills to properly engage and present solutions to our customers  Provide an inviting environment for the customers by maintaining a neat and clean store  Perform front end responsibilities such as cashier, returns, and online reservations  Provide store leadership when scheduled as the “Manager on Duty”  Be flexible to perform other duties as assigned 

Essential Skills And Experience

 Able to work a flexible schedule (including nights and weekends)  Has a clear understanding of merchandising and retail operations  Experience leading and coaching a team and/or supervising others  Must be able to engage and speak to customers and understand their needs  Ability to handle many priorities and to multi task effectively with limited or no supervision  Ability to lift, push or pull materials in the 100 pound range, climb ladders, stand and walk continuously  Staples does not sponsor applicants for work visas for this position  Preferred but not required: key holder experience within a retail environment 

About Us

The world of working and learning has changed. This is your opportunity to be a part of a brand transformation and growth strategy within the retail industry. Staples is helping our customers and community discover innovative products, services, and inspiration that unlock what’s possible, while empowering you to unlock your potential. Our people are the heart of our success and there has never been a better time to join us as we lead the way in a new era of working and learning.

Want to learn more about Staples Stores? Visit  RetailCareers.Staples.com  for information and to learn about our career opportunities.

Learn more about the employee benefits, programs and perks offered at Staples!

Staples is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law.","Philadelphia, PA",FULL_TIME,Mid-Senior level,https://www.linkedin.com/jobs/view/3884433946/?trk=jobs_biz_prem_srch
Southeastern Pennsylvania Transportation Authority (SEPTA),Strategic & Sustainability Planner (9165),"Secure your FUTURE with SEPTA today! 
The Southeastern Pennsylvania Transportation Authority (SEPTA) is the sixth largest transportation system in the United States, with a vast network of fixed route services including bus, subway/elevated, trackless trolley, light rail, and commuter rail serving a 2,200 square mile service region. SEPTA has become an integral force in the economic success of the Philadelphia region, providing an efficient and reliable source of transportation. 

We are seeking candidates for the position of Strategic & Sustainability Planner(9165) in the Planning/Office Of Innovation department.

Opening Date: 04/04/2024Closing Date: 04/26/2024Job Grade: SAM 38Salary Range: Min: $70,668.00 - Mid: $88,348.00 - Max: $106,028.00
OVERALL DESCRIPTIONThe Strategy & Sustainability Planner is responsible for assisting in sustainability data management and working to expand SEPTA's renewable energy portfolio in alignment with the goals set out in the SEPTA Forward Strategic Plan and SEP-TAINABLE 2020 report.

QUALIFICATIONS AND EXPERIENCEBachelor's Degree in Business, Government, Environmental Planning, Environmental Science, Data Management and Analytics or equivalent field and a minimum of three (3) years of progressively responsible experience in a related field, is required.In the lieu of the above requirements, post-Baccalaureate education will be considered as an acceptable equivalent for experience (i.e., one (1) year of formal post-Baccalaureate education equates to two years of related experience); however, the candidate must possess a minimum of three years of relevant experience regardless of education.

For more information, a full description and to apply, visit SEPTA’s website by clicking the apply link.
BENEFITS 
SEPTA offers a comprehensive benefits and retirement program for ALL employees, including:Medical – “Minimal annual premium contribution” 
Benefit plans with “No Employee annual premium contribution”: PrescriptionDentalVision
Additional benefits we offer: Pension Plan / Retirement SavingsDefined Benefit Pension PlanVoluntary Governmental 457B Deferred Comp PlanLife InsuranceTuition ReimbursementSEPTA Transportation Pass – FREE travel on all SEPTA modes of transportationSEPTA employees qualify for the Public Service Loan Forgiveness (PSLF) program
SEPTA is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.","Philadelphia, PA",FULL_TIME,Associate,https://www.linkedin.com/jobs/view/3884434747/?trk=jobs_biz_prem_srch
Staples Stores,Retail Operations Supervisor,"Job Description

As an Operations Supervisor, you will be collaborative and inclusive in helping our customers while being part of a fun, team-oriented retail culture. You’ll provide an exceptional customer experience by ensuring store merchandising standards are achieved for all products while leading off sales floor support areas.

Get great perks.

 Full-time hours, generous paid time off, career development program, and weekly pay  Compensation based on qualifications and experience. Hiring immediately  Associate store discount and more perks (discounts on mobile plans and other retailers, etc.)  Full medical benefits package, 401(k) with company match, and many more benefits 

Schedule an interview immediately.

 Schedule an interview potentially within minutes of applying. We'll let you know if you're not eligible. In-person interviews are at the store location 

Play an active role in helping your store, your people and your customer win.

 Perform store merchandising standards for all products  Maintain off floor support areas for space optimization, including product and fixture storage  Assist in associate development and lead a team committed to operational excellence  Respond quickly to customer requests and concerns on the sales floor  Balance operational requirements while providing a positive customer experience  Monitor and anticipate store needs for supplies required to operate daily functions  Be flexible to perform other duties as assigned (e.g., merchandising, operations, store cleanliness) 

Essential Skills And Experience

 Able to work a flexible schedule (including nights and weekends)  1+ year experience selling products or services  Experience leading a team and/or supervising others  Must be able to engage and speak to customers and understand their needs  Collaborate and work with other team members  Ability to lift/move materials in the 10-50 pound range, climb ladders, stand and walk continuously  Staples does not sponsor applicants for work visas for this position 

Preferred Skills And Experience

 Key holder experience within a retail environment  Clear understanding of merchandising and retail operations 

About Us

The world of working and learning has changed. This is your opportunity to be a part of a brand transformation and growth strategy within the retail industry. Staples is helping our customers and community discover innovative products, services, and inspiration that unlock what’s possible, while empowering you to unlock your potential. Our people are the heart of our success and there has never been a better time to join us as we lead the way in a new era of working and learning.

Want to learn more about Staples Stores? Visit  RetailCareers.Staples.com  for information and to learn about our career opportunities.

Learn more about the employee benefits, programs and perks offered at Staples!

Staples is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law.","Philadelphia, PA",FULL_TIME,Mid-Senior level,https://www.linkedin.com/jobs/view/3884434801/?trk=jobs_biz_prem_srch
SKYZEN Technologies LLC,Data Engineer,"Job DescriptionPosition: Senior Data EngineerLocation: Philadelphia, PADuration: 6 Months Contract-Hire
Share your resumes to aadeetya@skyzentech.com.
QualificationsData Engineering and Data Modeling skillsExperience with ETL (Extract Transform Load) processesData Warehousing and Data Analytics experienceStrong problem-solving and analytical skillsProficiency in SQL and programming languages (e.g., Python, Java)Knowledge of cloud platforms (e.g., AWS, Azure) and big data technologies (e.g., Hadoop, Spark) is a plusBachelor's degree in Computer Science, Information Systems, or a related fieldExcellent communication and collaboration skills","Philadelphia, PA",CONTRACT,,https://www.linkedin.com/jobs/view/3884435224/?trk=jobs_biz_prem_srch
Solomon Page,Nurse - RN - LTC,"Our client is looking to add a Registered Nurse to their team.

Job Details:

Location: Philadelphia, Pennsylvania Duration: 8 Weeks Start Date: 04/03/2024 Shift: 5x8 Evenings Estimated Gross Weekly Pay: $1,246 Estimated Weekly Stipend: $446

Qualifications: 

Current Pennsylvania license Excellent interpersonal skills including patience, empathy, and compassion Effective communication skills, including active listening, writing, speaking and reading comprehension Fast and adaptive problem-solving abilities Ability to stand for long periods of time 

Why Work with Us 

The success of Solomon Page is defined by our people. Offering a comprehensive benefits package, travel nurses have immediate access to medical coverage and ReviveHealth virtual care. Additionally, you are offered access to dental and vision coverage, commuter benefits, a 401(k) plan, flexible spending, referral bonuses, ongoing training, and more. As an ESOP company, Solomon Page offers an employee stock ownership plan to all consultants. As a member of our traveler community, you will join a nurturing culture that fosters your career goals. Solomon Page can connect you with your next opportunity – whether it is in your hometown, or you are looking to travel to a new destination.

About Solomon Page Healthcare & Medical Staffing

Accredited by the Joint Commission with the Gold Seal of Approval, Solomon Page prides ourselves in developing long-term relationships with healthcare providers based on trust and respect. Our experienced Healthcare and Medical Staffing experts are committed to providing safe and quality patient care through our wide network of travel nurses, locum tenens, and allied resources. For more information and additional healthcare opportunities, visit: solomonpage.com and connect with Solomon Page on Instagram, Facebook, Twitter, LinkedIn, and TikTok.

If you meet the required qualifications and are interested in this role, please apply today.

263664","Philadelphia, PA",CONTRACT,Mid-Senior level,https://www.linkedin.com/jobs/view/3884435911/?trk=jobs_biz_prem_srch
AccentCare,Registered Nurse,"Company DescriptionAccentCare is a national provider of home health services, personal care services, and hospice care. With over 260 sites of care across 31 states, our innovative partnerships and care models advance the industry forward. We work with prestigious health systems, physician practices, and joint venture partners to provide care to over 200,000 patients and their families each year. AccentCare is committed to quality, with high ratings and accreditations from reputable organizations.
Role DescriptionThis is a full-time role for a Registered Nurse servicing Philadelphia, PA. The Registered Nurse will be responsible for providing direct patient care, including administering medications, assessing patient conditions, creating and implementing care plans, and collaborating with the healthcare team. The Registered Nurse will also be responsible for educating patients and their families, monitoring patient progress, and documenting patient information accurately.
QualificationsActive and valid Registered Nurse licenseExperience in providing direct patient careKnowledge of medical procedures and protocolsStrong communication and interpersonal skillsAbility to work effectively in a teamExcellent organization and time management skillsAttention to detail and accuracy in documentationAbility to handle stressful situations and make critical decisionsAssociates degree in Nursing CPR certificationExperience in home health or hospice care is a plus","Philadelphia, PA",FULL_TIME,,https://www.linkedin.com/jobs/view/3884436146/?trk=jobs_biz_prem_srch
Noblis,Technical Scrum Master,"Responsibilities 

Noblis MSD’s mission is to support the Naval Sea Systems Command (NAVSEA) and Naval Surface Warfare Center (NSWCPD) in their missions to enable research, development, test and evaluation, acquisition, engineering, systems integration, in-service and fleet engineering with cybersecurity, comprehensive logistics, and life-cycle savings. Noblis MSD is seeking a Scrum Master to support U.S. Navy programs. You will provide program management, engineering and technical assistance support in the Philadelphia Navy Yard.

Noblis MSD Is Seeking Scrum Master Candidates To Provide On-site Programmatic And Technical Support To Naval Surface Warfare Center Philadelphia Programs, And To Directly Support US Navy Programs; We Are The Prime On These Contracts. This Is a New Position And a Great Opportunity To Work Up Into a Program Manager Role. Responsible For Managing Timelines, Resolving Technical Problems, Project Control Support And Coaching Team Members On Agile Methodologies. Responsibilities Include:

 Manage each project’s scope and timeline.  Coordinate sprints, retrospective meetings and daily stand-ups  Coach team members in Agile frameworks  Facilitate internal communication and effective collaboration.  Be the point of contact for external communications (e.g. from customers or stakeholders)  Work with product owners to handle backlogs and new requests.  Resolve conflicts and remove obstacles that occur.  Help teams implement changes effectively.  Ensure deliverables are up to quality standards at the end of each sprint.  Guide development teams to higher scrum maturity  Help build a productive environment where team members ‘own’ the product and enjoy working on it 

 Required Qualifications 

Required skills and knowledge:

 Experience in a scrum master role  Experienced with the software development process and can work with and direct SW Developers  Excellent knowledge of Scrum techniques and artifacts (such as definition of done, user stories, automated testing, backlog refinement)  Good knowledge of other Agile frameworks  Problem-solving and conflict-resolution ability  Outstanding organizational skills  Degree in Computer Science, Business or similar field and 5+ years work experience in program support  Scrum master certification is a plus (CSM, CSPO, PSM, CSP, SSM, PSPO or CSD)  PMP Certification is a plus 

 Desired Qualifications 

Candidates should have excellent knowledge of the scrum framework, with all its artifacts and techniques. The ability to coordinate people and projects (occasionally facilitating changes) with your mind set on deliverables. Candidates should be a strong communicator, a capable leader and a strong knowledge in Agile frameworks.

 Overview 

Noblis and our wholly owned subsidiaries, Noblis ESI , and Noblis MSD tackle the nation's toughest problems and apply advanced solutions to our clients' most critical missions. We bring the best of scientific thought, management, and engineering expertise together in an environment of independence and objectivity to deliver enduring impact on federal missions. Noblis works with a wide range of government clients in the defense, intelligence and federal civil sectors. Learn more at Noblis -About Us

 Why work at a Noblis company? 

Our employees find greater meaning in their work and balance the other things in life that matter to them. Our people are our greatest asset. They are exceptionally skilled, knowledgeable, team-oriented, and mission-driven individuals who want to do work that matters and benefits the public. Noblis has won numerous workplace awards . Noblis maintains a drug-free workplace.

 Client Engagement 

 Learn about the Noblis business development lifecycle, processes, tools, and account structure Contribute specialized domain or technical content to proposal sections or client white papers Build a productive relationship with your client and understand their structure and goals

 Salary Range Explanation 

 At Noblis we recognize and reward your contributions, provide you with growth opportunities, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, and work-life programs. Our award programs acknowledge employees for exceptional performance and superior demonstration of our service standards. Full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in our benefit programs. Other offerings may be provided for employees not within this category. We encourage you to learn more about our total benefits by visiting the Benefits page on our Careers site. 

 Salary at Noblis is determined by various factors, including but not limited to, the combination of education, certifications, knowledge, skills, competencies, and experience, internal and external equity, location, and clearance level, as well as contract-specific affordability and organizational requirements and applicable employment laws. The projected compensation range for this position  is provided within the posting and  are based on full time status. Part time staff receive a prorated salary based on regularly scheduled hours. The estimated minimum and maximum displayed represents the broadest range for this position (inclusive of high geographic and high clearance requirements), and is just one component of Noblis’ total compensation package for employees. 

 Posted Salary Range 

USD $85,600.00 - USD $149,800.00 /Yr.

 Equal Employment Opportunity 

Noblis is an Equal Opportunity Employer. Employment decisions are made without regard to race (as well as because of or on the basis of traits historically associated with race, including hair texture, hair type, and protective hairstyles such as braids, locks, and twists), color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, pregnancy, childbirth, lactation and related medical conditions, genetic factors, military/veteran status, or other characteristics protected by law.

Noblis is committed to the full inclusion of all qualified individuals. As part of this commitment, Noblis will ensure that persons with disabilities are provided reasonable accommodations. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact  employee-relations@noblis.org .","Philadelphia, PA",FULL_TIME,Entry level,https://www.linkedin.com/jobs/view/3884437819/?trk=jobs_biz_prem_srch
